INFO 2025-08-20 21:29:02,914 autoreload 146692 140008032178048 Watching for file changes with StatReloader
WARNING 2025-08-20 21:29:45,865 log 146692 140007958341312 Not Found: /
WARNING 2025-08-20 21:29:45,867 basehttp 146692 140007958341312 "GET / HTTP/1.1" 404 2809
INFO 2025-08-20 21:30:48,446 basehttp 146692 140007880783552 "GET /api/v1/memorials/ HTTP/1.1" 200 2455
INFO 2025-08-20 21:31:53,451 basehttp 146692 140007958341312 "GET /api/v1/ HTTP/1.1" 200 6723
INFO 2025-08-20 21:31:53,650 basehttp 146692 140007880783552 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-08-20 21:31:53,651 basehttp 146692 140007872390848 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-08-20 21:31:53,665 basehttp 146692 140007863998144 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-08-20 21:31:53,669 basehttp 146692 140007847212736 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-08-20 21:31:53,670 basehttp 146692 140007958341312 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-08-20 21:31:53,672 basehttp 146692 140007855605440 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-08-20 21:31:53,735 basehttp 146692 140007880783552 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-08-20 21:31:53,744 basehttp 146692 140007863998144 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-08-20 21:31:53,754 basehttp 146692 140007872390848 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-08-20 21:31:53,763 basehttp 146692 140007958341312 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-08-20 21:31:53,767 basehttp 146692 140007855605440 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-08-20 21:31:54,369 basehttp 146692 140007958341312 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-08-20 21:32:00,589 basehttp 146692 140007958341312 "GET /api/v1/timeline/phases/ HTTP/1.1" 200 15008
INFO 2025-08-20 21:32:01,095 basehttp 146692 140007958341312 "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
INFO 2025-08-20 21:44:31,080 autoreload 152068 139823929364352 Watching for file changes with StatReloader
WARNING 2025-08-20 21:44:32,512 log 152068 139823857571520 Not Found: /
WARNING 2025-08-20 21:44:32,515 basehttp 152068 139823857571520 "GET / HTTP/1.1" 404 2809
WARNING 2025-08-20 21:44:32,554 log 152068 139823857571520 Not Found: /
WARNING 2025-08-20 21:44:32,555 basehttp 152068 139823857571520 "GET / HTTP/1.1" 404 2809
WARNING 2025-08-20 21:44:33,708 log 152068 139823857571520 Not Found: /favicon.ico
WARNING 2025-08-20 21:44:33,709 basehttp 152068 139823857571520 "GET /favicon.ico HTTP/1.1" 404 2860
WARNING 2025-08-20 21:46:31,168 log 152068 139823857571520 Not Found: /gallery
WARNING 2025-08-20 21:46:31,170 basehttp 152068 139823857571520 "GET /gallery HTTP/1.1" 404 2848
INFO 2025-08-20 21:48:04,422 autoreload 153407 139938644299648 Watching for file changes with StatReloader
INFO 2025-08-20 21:50:51,820 basehttp 153407 139938577417920 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-20 21:50:51,890 basehttp 153407 139938577417920 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
INFO 2025-08-20 21:50:52,063 basehttp 153407 139938577417920 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-08-20 21:50:59,623 basehttp 153407 139938577417920 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4341
